"","table.x","first_id","desc","category","label","format","year","ISCED_number","ISCED_label","ISCED_desc"
"10582","MÉNAGE","DIPLOM3ECJ_DEU","Nature du diplôme de niveau bac + 2 du conjoint : premier cycle universitaire",1,"Oui","Categorical",2010,NA,NA,NA
"10583","MÉNAGE","DIPLOM3ECJ_DEU","Nature du diplôme de niveau bac + 2 du conjoint : premier cycle universitaire",2,"Non","Categorical",2010,NA,NA,NA
"10584","MÉNAGE","DIPLOM3ECJ_NSP","Nature du diplôme de niveau bac + 2 du conjoint : ne sait pas quel diplôme",1,"Oui","Categorical",2010,NA,NA,NA
"10585","MÉNAGE","DIPLOM3ECJ_NSP","Nature du diplôme de niveau bac + 2 du conjoint : ne sait pas quel diplôme",2,"Non","Categorical",2010,NA,NA,NA
"10586","MÉNAGE","DIPLOM3ECJ_SOC","Nature du diplôme de niveau bac + 2 du conjoint : professions sociales et de santé",1,"Oui","Categorical",2010,NA,NA,NA
"10587","MÉNAGE","DIPLOM3ECJ_SOC","Nature du diplôme de niveau bac + 2 du conjoint : professions sociales et de santé",2,"Non","Categorical",2010,NA,NA,NA
"10588","MÉNAGE","DIPLOM3EPR_BTS","Nature du diplôme de niveau bac + 2 de la personne de référence : BTS, DUT, DEUST",1,"Oui","Categorical",2010,NA,NA,NA
"10589","MÉNAGE","DIPLOM3EPR_BTS","Nature du diplôme de niveau bac + 2 de la personne de référence : BTS, DUT, DEUST",2,"Non","Categorical",2010,NA,NA,NA
"10590","MÉNAGE","DIPLOM3EPR_DEU","Nature du diplôme de niveau bac + 2 de la personne de référence : premier cycle universitaire",1,"Oui","Categorical",2010,NA,NA,NA
"10591","MÉNAGE","DIPLOM3EPR_DEU","Nature du diplôme de niveau bac + 2 de la personne de référence : premier cycle universitaire",2,"Non","Categorical",2010,NA,NA,NA
"10592","MÉNAGE","DIPLOM3EPR_NSP","Nature du diplôme de niveau bac + 2 de la personne de référence : ne sait pas quel diplôme",1,"Oui","Categorical",2010,NA,NA,NA
"10593","MÉNAGE","DIPLOM3EPR_NSP","Nature du diplôme de niveau bac + 2 de la personne de référence : ne sait pas quel diplôme",2,"Non","Categorical",2010,NA,NA,NA
"10594","MÉNAGE","DIPLOM3EPR_SOC","Nature du diplôme de niveau bac + 2 de la personne de référence : professions sociales et de santé",1,"Oui","Categorical",2010,NA,NA,NA
"10595","MÉNAGE","DIPLOM3EPR_SOC","Nature du diplôme de niveau bac + 2 de la personne de référence : professions sociales et de santé",2,"Non","Categorical",2010,NA,NA,NA
"10596","MÉNAGE","DIPLOM4ECJ_DEA","Nature du diplôme de niveau supérieur à bac + 2 du conjoint : troisième cycle universitaire ou doctorat de médecine, de pharmacie ou dentaire",1,"Oui","Categorical",2010,NA,NA,NA
"10597","MÉNAGE","DIPLOM4ECJ_DEA","Nature du diplôme de niveau supérieur à bac + 2 du conjoint : troisième cycle universitaire ou doctorat de médecine, de pharmacie ou dentaire",2,"Non","Categorical",2010,NA,NA,NA
"10598","MÉNAGE","DIPLOM4ECJ_DOC","Nature du diplôme de niveau supérieur à bac + 2 du conjoint : doctorat hors professions de santé",1,"Oui","Categorical",2010,NA,NA,NA
"10599","MÉNAGE","DIPLOM4ECJ_DOC","Nature du diplôme de niveau supérieur à bac + 2 du conjoint : doctorat hors professions de santé",2,"Non","Categorical",2010,NA,NA,NA
"10600","MÉNAGE","DIPLOM4ECJ_ING","Nature du diplôme de niveau supérieur à bac + 2 du conjoint : grande école",1,"Oui","Categorical",2010,NA,NA,NA
"10601","MÉNAGE","DIPLOM4ECJ_ING","Nature du diplôme de niveau supérieur à bac + 2 du conjoint : grande école",2,"Non","Categorical",2010,NA,NA,NA
"10602","MÉNAGE","DIPLOM4ECJ_LIC","Nature du diplôme de niveau supérieur à bac + 2 du conjoint : deuxième cycle universitaire",1,"Oui","Categorical",2010,NA,NA,NA
"10603","MÉNAGE","DIPLOM4ECJ_LIC","Nature du diplôme de niveau supérieur à bac + 2 du conjoint : deuxième cycle universitaire",2,"Non","Categorical",2010,NA,NA,NA
"10604","MÉNAGE","DIPLOM4ECJ_NSP","Nature du diplôme de niveau supérieur à bac + 2 du conjoint : ne sait pas quel diplôme",1,"Oui","Categorical",2010,NA,NA,NA
"10605","MÉNAGE","DIPLOM4ECJ_NSP","Nature du diplôme de niveau supérieur à bac + 2 du conjoint : ne sait pas quel diplôme",2,"Non","Categorical",2010,NA,NA,NA
"10606","MÉNAGE","DIPLOM4EPR_DEA","Nature du diplôme de niveau supérieur à bac + 2 de la personne de référence : troisième cycle universitaire ou doctorat de médecine, de pharmacie ou dentaire",1,"Oui","Categorical",2010,NA,NA,NA
"10607","MÉNAGE","DIPLOM4EPR_DEA","Nature du diplôme de niveau supérieur à bac + 2 de la personne de référence : troisième cycle universitaire ou doctorat de médecine, de pharmacie ou dentaire",2,"Non","Categorical",2010,NA,NA,NA
"10608","MÉNAGE","DIPLOM4EPR_DOC","Nature du diplôme de niveau supérieur à bac + 2 de la personne de référence : doctorat hors professions de santé",1,"Oui","Categorical",2010,NA,NA,NA
"10609","MÉNAGE","DIPLOM4EPR_DOC","Nature du diplôme de niveau supérieur à bac + 2 de la personne de référence : doctorat hors professions de santé",2,"Non","Categorical",2010,NA,NA,NA
"10610","MÉNAGE","DIPLOM4EPR_ING","Nature du diplôme de niveau supérieur à bac + 2 de la personne de référence : grande école",1,"Oui","Categorical",2010,NA,NA,NA
"10611","MÉNAGE","DIPLOM4EPR_ING","Nature du diplôme de niveau supérieur à bac + 2 de la personne de référence : grande école",2,"Non","Categorical",2010,NA,NA,NA
"10612","MÉNAGE","DIPLOM4EPR_LIC","Nature du diplôme de niveau supérieur à bac + 2 de la personne de référence : deuxième cycle universitaire",1,"Oui","Categorical",2010,NA,NA,NA
"10613","MÉNAGE","DIPLOM4EPR_LIC","Nature du diplôme de niveau supérieur à bac + 2 de la personne de référence : deuxième cycle universitaire",2,"Non","Categorical",2010,NA,NA,NA
"10614","MÉNAGE","DIPLOM4EPR_NSP","Nature du diplôme de niveau supérieur à bac + 2 de la personne de référence : ne sait pas quel diplôme",1,"Oui","Categorical",2010,NA,NA,NA
"10615","MÉNAGE","DIPLOM4EPR_NSP","Nature du diplôme de niveau supérieur à bac + 2 de la personne de référence : ne sait pas quel diplôme",2,"Non","Categorical",2010,NA,NA,NA
"10616","MÉNAGE","DIPLOMECJ_AUC","Niveau de diplôme du conjoint : aucun diplôme",1,"Oui","Categorical",2010,NA,NA,NA
"10617","MÉNAGE","DIPLOMECJ_AUC","Niveau de diplôme du conjoint : aucun diplôme",2,"Non","Categorical",2010,NA,NA,NA
"10618","MÉNAGE","DIPLOMECJ_BEP","Niveau de diplôme du conjoint : CAP, BEP",1,"Oui","Categorical",2010,NA,NA,NA
"10619","MÉNAGE","DIPLOMECJ_BEP","Niveau de diplôme du conjoint : CAP, BEP",2,"Non","Categorical",2010,NA,NA,NA
"10620","MÉNAGE","DIPLOMECJ_BRE","Niveau de diplôme du conjoint : brevet, BEPC",1,"Oui","Categorical",2010,NA,NA,NA
"10621","MÉNAGE","DIPLOMECJ_BRE","Niveau de diplôme du conjoint : brevet, BEPC",2,"Non","Categorical",2010,NA,NA,NA
"10622","MÉNAGE","DIPLOMECJ_CEP","Niveau de diplôme du conjoint : CEP",1,"Oui","Categorical",2010,NA,NA,NA
"10623","MÉNAGE","DIPLOMECJ_CEP","Niveau de diplôme du conjoint : CEP",2,"Non","Categorical",2010,NA,NA,NA
"10624","MÉNAGE","DIPLOMECJ_DEU","Niveau de diplôme du conjoint : bac + 2",1,"Oui","Categorical",2010,NA,NA,NA
"10625","MÉNAGE","DIPLOMECJ_DEU","Niveau de diplôme du conjoint : bac + 2",2,"Non","Categorical",2010,NA,NA,NA
"10626","MÉNAGE","DIPLOMECJ_GEN","Niveau de diplôme du conjoint : bac général",1,"Oui","Categorical",2010,NA,NA,NA
"10627","MÉNAGE","DIPLOMECJ_GEN","Niveau de diplôme du conjoint : bac général",2,"Non","Categorical",2010,NA,NA,NA
"10628","MÉNAGE","DIPLOMECJ_SUP","Niveau de diplôme du conjoint : supérieur à bac + 2",1,"Oui","Categorical",2010,NA,NA,NA
"10629","MÉNAGE","DIPLOMECJ_SUP","Niveau de diplôme du conjoint : supérieur à bac + 2",2,"Non","Categorical",2010,NA,NA,NA
"10630","MÉNAGE","DIPLOMECJ_TEC","Niveau de diplôme du conjoint : bac technologique ou professionnel",1,"Oui","Categorical",2010,NA,NA,NA
"10631","MÉNAGE","DIPLOMECJ_TEC","Niveau de diplôme du conjoint : bac technologique ou professionnel",2,"Non","Categorical",2010,NA,NA,NA
"10632","MÉNAGE","DIPLOMEPR_AUC","Niveau de diplôme de la personne de référence : aucun diplôme",1,"Oui","Categorical",2010,NA,NA,NA
"10633","MÉNAGE","DIPLOMEPR_AUC","Niveau de diplôme de la personne de référence : aucun diplôme",2,"Non","Categorical",2010,NA,NA,NA
"10634","MÉNAGE","DIPLOMEPR_BEP","Niveau de diplôme de la personne de référence : CAP, BEP",1,"Oui","Categorical",2010,NA,NA,NA
"10635","MÉNAGE","DIPLOMEPR_BEP","Niveau de diplôme de la personne de référence : CAP, BEP",2,"Non","Categorical",2010,NA,NA,NA
"10636","MÉNAGE","DIPLOMEPR_BRE","Niveau de diplôme de la personne de référence : brevet, BEPC",1,"Oui","Categorical",2010,NA,NA,NA
"10637","MÉNAGE","DIPLOMEPR_BRE","Niveau de diplôme de la personne de référence : brevet, BEPC",2,"Non","Categorical",2010,NA,NA,NA
"10638","MÉNAGE","DIPLOMEPR_CEP","Niveau de diplôme de la personne de référence : CEP",1,"Oui","Categorical",2010,NA,NA,NA
"10639","MÉNAGE","DIPLOMEPR_CEP","Niveau de diplôme de la personne de référence : CEP",2,"Non","Categorical",2010,NA,NA,NA
"10640","MÉNAGE","DIPLOMEPR_DEU","Niveau de diplôme de la personne de référence : bac + 2",1,"Oui","Categorical",2010,NA,NA,NA
"10641","MÉNAGE","DIPLOMEPR_DEU","Niveau de diplôme de la personne de référence : bac + 2",2,"Non","Categorical",2010,NA,NA,NA
"10642","MÉNAGE","DIPLOMEPR_GEN","Niveau de diplôme de la personne de référence : bac général",1,"Oui","Categorical",2010,NA,NA,NA
"10643","MÉNAGE","DIPLOMEPR_GEN","Niveau de diplôme de la personne de référence : bac général",2,"Non","Categorical",2010,NA,NA,NA
"10644","MÉNAGE","DIPLOMEPR_SUP","Niveau de diplôme de la personne de référence : supérieur à bac + 2",1,"Oui","Categorical",2010,NA,NA,NA
"10645","MÉNAGE","DIPLOMEPR_SUP","Niveau de diplôme de la personne de référence : supérieur à bac + 2",2,"Non","Categorical",2010,NA,NA,NA
"10646","MÉNAGE","DIPLOMEPR_TEC","Niveau de diplôme de la personne de référence : bac technologique ou professionnel",1,"Oui","Categorical",2010,NA,NA,NA
"10647","MÉNAGE","DIPLOMEPR_TEC","Niveau de diplôme de la personne de référence : bac technologique ou professionnel",2,"Non","Categorical",2010,NA,NA,NA
"10649","MÉNAGE","DIPSUPECJ","Diplôme le plus élevé de l'enseignement supérieur du conjoint",41,"Diplôme de 1er cycle universitaire (DEUG)","Categorical",2010,"540","Short-cycle tertiary education, General, Not further defined",NA
"10650","MÉNAGE","DIPSUPECJ","Diplôme le plus élevé de l'enseignement supérieur du conjoint",42,"DUT (Diplôme universitaire de technologie), BTS (brevet de technicien supérieur), DEUST","Categorical",2010,"550","Short-cycle tertiary education, Vocational, Not further defined",NA
"10651","MÉNAGE","DIPSUPECJ","Diplôme le plus élevé de l'enseignement supérieur du conjoint",44,"Diplôme des professions sociales et de la santé de niveau bac + 2 (infirmière …)","Categorical",2010,"550","Short-cycle tertiary education, Vocational, Not further defined",NA
"10652","MÉNAGE","DIPSUPECJ","Diplôme le plus élevé de l'enseignement supérieur du conjoint",51,"Diplôme de 2e cycle universitaire (licence, maîtrise)","Categorical",2010,"640","Bachelor’s or equivalent level, Academic, Not further defined",NA
"10653","MÉNAGE","DIPSUPECJ","Diplôme le plus élevé de l'enseignement supérieur du conjoint",63,"Diplôme d'une grande école (ingénieur, commerce …)","Categorical",2010,"750","Master’s or equivalent level, Professional, Not further defined",NA
"10654","MÉNAGE","DIPSUPECJ","Diplôme le plus élevé de l'enseignement supérieur du conjoint",71,"Diplôme de 3e cycle universitaire (DES, DEA, DESS, master), doctorat (y compris professions","Categorical",2010,"740, 750, 840","Master’s or equivalent level, Academic, Not further defined., Master’s or equivalent level, Professional, Not further defined., Doctoral or equivalent level, Academic, Not further defined",NA
"10655","MÉNAGE","DIPSUPECJ","Diplôme le plus élevé de l'enseignement supérieur du conjoint",71,"Diplôme de 3e cycle universitaire (DES, DEA, DESS, master), doctorat (y compris professions de santé)","Categorical",2010,"740, 750, 840","Master’s or equivalent level, Academic, Not further defined., Master’s or equivalent level, Professional, Not further defined., Doctoral or equivalent level, Academic, Not further defined",NA
"10657","MÉNAGE","DIPSUPEPR","Diplôme le plus élevé de l'enseignement supérieur de la personne de référence",41,"Diplôme de 1er cycle universitaire (DEUG)","Categorical",2010,"540","Short-cycle tertiary education, General, Not further defined",NA
"10658","MÉNAGE","DIPSUPEPR","Diplôme le plus élevé de l'enseignement supérieur de la personne de référence",42,"DUT (Diplôme universitaire de technologie), BTS (brevet de technicien supérieur), DEUST","Categorical",2010,"550","Short-cycle tertiary education, Vocational, Not further defined",NA
"10659","MÉNAGE","DIPSUPEPR","Diplôme le plus élevé de l'enseignement supérieur de la personne de référence",44,"Diplôme des professions sociales et de la santé de niveau bac + 2 (infirmière …)","Categorical",2010,"550","Short-cycle tertiary education, Vocational, Not further defined",NA
"10660","MÉNAGE","DIPSUPEPR","Diplôme le plus élevé de l'enseignement supérieur de la personne de référence",51,"Diplôme de 2e cycle universitaire (licence, maîtrise)","Categorical",2010,"640","Bachelor’s or equivalent level, Academic, Not further defined",NA
"10661","MÉNAGE","DIPSUPEPR","Diplôme le plus élevé de l'enseignement supérieur de la personne de référence",63,"Diplôme d'une grande école (ingénieur, commerce …)","Categorical",2010,"750","Master’s or equivalent level, Professional, Not further defined",NA
"10662","MÉNAGE","DIPSUPEPR","Diplôme le plus élevé de l'enseignement supérieur de la personne de référence",71,"Diplôme de 3e cycle universitaire (DES, DEA, DESS, master), doctorat (y compris professions","Categorical",2010,"740, 750, 840","Master’s or equivalent level, Academic, Not further defined., Master’s or equivalent level, Professional, Not further defined., Doctoral or equivalent level, Academic, Not further defined",NA
"10663","MÉNAGE","DIPSUPEPR","Diplôme le plus élevé de l'enseignement supérieur de la personne de référence",71,"Diplôme de 3e cycle universitaire (DES, DEA, DESS, master), doctorat (y compris professions de santé)","Categorical",2010,"740, 750, 840","Master’s or equivalent level, Academic, Not further defined., Master’s or equivalent level, Professional, Not further defined., Doctoral or equivalent level, Academic, Not further defined",NA
"10665","MÉNAGE","DIPTECHCJ","Diplôme de plus élevé de l'enseignement technique du conjoint",23,"CAP, CAPA, mention complémentaire au CAP","Categorical",2010,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"10666","MÉNAGE","DIPTECHCJ","Diplôme de plus élevé de l'enseignement technique du conjoint",24,"BEP, BEPA, mention complémentaire au BEP","Categorical",2010,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"10667","MÉNAGE","DIPTECHCJ","Diplôme de plus élevé de l'enseignement technique du conjoint",29,"Autres diplômes de niveau CAP ou BEP : brevet de compagnon, aide soignant, auxiliaire de vie,","Categorical",2010,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"10668","MÉNAGE","DIPTECHCJ","Diplôme de plus élevé de l'enseignement technique du conjoint",29,"Autres diplômes de niveau CAP ou BEP : brevet de compagnon, aide soignant, auxiliaire de vie, titre AFPA 1er degré …","Categorical",2010,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"10669","MÉNAGE","DIPTECHCJ","Diplôme de plus élevé de l'enseignement technique du conjoint",32,"Baccalauréat technologique (séries F, G, H, SMS, STI, STL, STT)","Categorical",2010,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"10670","MÉNAGE","DIPTECHCJ","Diplôme de plus élevé de l'enseignement technique du conjoint",33,"Brevet professionnel ou technicien de maîtrise, BEA, BEC, BEI, BEH, BSEC","Categorical",2010,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"10671","MÉNAGE","DIPTECHCJ","Diplôme de plus élevé de l'enseignement technique du conjoint",34,"Baccalauréat professionnel","Categorical",2010,"354","Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"10673","MÉNAGE","DIPTECHPR","Diplôme de plus élevé de l'enseignement technique de la personne de référence",23,"CAP, CAPA, mention complémentaire au CAP","Categorical",2010,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"10674","MÉNAGE","DIPTECHPR","Diplôme de plus élevé de l'enseignement technique de la personne de référence",24,"BEP, BEPA, mention complémentaire au BEP","Categorical",2010,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"10675","MÉNAGE","DIPTECHPR","Diplôme de plus élevé de l'enseignement technique de la personne de référence",29,"Autres diplômes de niveau CAP ou BEP : brevet de compagnon, aide soignant, auxiliaire de vie,","Categorical",2010,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"10676","MÉNAGE","DIPTECHPR","Diplôme de plus élevé de l'enseignement technique de la personne de référence",29,"Autres diplômes de niveau CAP ou BEP : brevet de compagnon, aide soignant, auxiliaire de vie, titre AFPA 1er degré …","Categorical",2010,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"10677","MÉNAGE","DIPTECHPR","Diplôme de plus élevé de l'enseignement technique de la personne de référence",32,"Baccalauréat technologique (séries F, G, H, SMS, STI, STL, STT)","Categorical",2010,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"10678","MÉNAGE","DIPTECHPR","Diplôme de plus élevé de l'enseignement technique de la personne de référence",33,"Brevet professionnel ou technicien de maîtrise, BEA, BEC, BEI, BEH, BSEC","Categorical",2010,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"10679","MÉNAGE","DIPTECHPR","Diplôme de plus élevé de l'enseignement technique de la personne de référence",34,"Baccalauréat professionnel","Categorical",2010,"354","Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"11195","MÉNAGE","HODIP1","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",2,"CEP, BEPC, CAP, BEP","Categorical",2010,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"11196","MÉNAGE","HODIP1","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",3,"Baccalauréat professionnel","Categorical",2010,"354","Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"11197","MÉNAGE","HODIP1","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",4,"Baccalauréat général ou technique","Categorical",2010,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"11198","MÉNAGE","HODIP1","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",5,"Bac+2 (DEUG, BTS, DUT, ...)","Categorical",2010,"540, 550","Short-cycle tertiary education, General, Not further defined., Short-cycle tertiary education, Vocational, Not further defined",NA
"11199","MÉNAGE","HODIP1","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",6,"Supérieur à bac+2","Categorical",2010,"640, 650","Bachelor's or equivalent level, or more.",NA
"11201","MÉNAGE","HODIP10","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",2,"CEP, BEPC, CAP, BEP","Categorical",2010,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"11202","MÉNAGE","HODIP10","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",3,"Baccalauréat professionnel","Categorical",2010,"354","Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"11203","MÉNAGE","HODIP10","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",4,"Baccalauréat général ou technique","Categorical",2010,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"11204","MÉNAGE","HODIP10","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",5,"Bac+2 (DEUG, BTS, DUT, ...)","Categorical",2010,"540, 550","Short-cycle tertiary education, General, Not further defined., Short-cycle tertiary education, Vocational, Not further defined",NA
"11205","MÉNAGE","HODIP10","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",6,"Supérieur à bac+2","Categorical",2010,"640, 650","Bachelor's or equivalent level, or more.",NA
"11207","MÉNAGE","HODIP11","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",2,"CEP, BEPC, CAP, BEP","Categorical",2010,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"11208","MÉNAGE","HODIP11","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",3,"Baccalauréat professionnel","Categorical",2010,"354","Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"11209","MÉNAGE","HODIP11","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",4,"Baccalauréat général ou technique","Categorical",2010,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"11210","MÉNAGE","HODIP11","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",5,"Bac+2 (DEUG, BTS, DUT, ...)","Categorical",2010,"540, 550","Short-cycle tertiary education, General, Not further defined., Short-cycle tertiary education, Vocational, Not further defined",NA
"11211","MÉNAGE","HODIP11","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",6,"Supérieur à bac+2","Categorical",2010,"640, 650","Bachelor's or equivalent level, or more.",NA
"11213","MÉNAGE","HODIP12","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",2,"CEP, BEPC, CAP, BEP","Categorical",2010,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"11214","MÉNAGE","HODIP12","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",3,"Baccalauréat professionnel","Categorical",2010,"354","Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"11215","MÉNAGE","HODIP12","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",4,"Baccalauréat général ou technique","Categorical",2010,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"11216","MÉNAGE","HODIP12","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",5,"Bac+2 (DEUG, BTS, DUT, ...)","Categorical",2010,"540, 550","Short-cycle tertiary education, General, Not further defined., Short-cycle tertiary education, Vocational, Not further defined",NA
"11217","MÉNAGE","HODIP12","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",6,"Supérieur à bac+2","Categorical",2010,"640, 650","Bachelor's or equivalent level, or more.",NA
"11219","MÉNAGE","HODIP2","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",2,"CEP, BEPC, CAP, BEP","Categorical",2010,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"11220","MÉNAGE","HODIP2","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",3,"Baccalauréat professionnel","Categorical",2010,"354","Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"11221","MÉNAGE","HODIP2","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",4,"Baccalauréat général ou technique","Categorical",2010,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"11222","MÉNAGE","HODIP2","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",5,"Bac+2 (DEUG, BTS, DUT, ...)","Categorical",2010,"540, 550","Short-cycle tertiary education, General, Not further defined., Short-cycle tertiary education, Vocational, Not further defined",NA
"11223","MÉNAGE","HODIP2","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",6,"Supérieur à bac+2","Categorical",2010,"640, 650","Bachelor's or equivalent level, or more.",NA
"11225","MÉNAGE","HODIP3","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",2,"CEP, BEPC, CAP, BEP","Categorical",2010,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"11226","MÉNAGE","HODIP3","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",3,"Baccalauréat professionnel","Categorical",2010,"354","Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"11227","MÉNAGE","HODIP3","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",4,"Baccalauréat général ou technique","Categorical",2010,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"11228","MÉNAGE","HODIP3","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",5,"Bac+2 (DEUG, BTS, DUT, ...)","Categorical",2010,"540, 550","Short-cycle tertiary education, General, Not further defined., Short-cycle tertiary education, Vocational, Not further defined",NA
"11229","MÉNAGE","HODIP3","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",6,"Supérieur à bac+2","Categorical",2010,"640, 650","Bachelor's or equivalent level, or more.",NA
"11231","MÉNAGE","HODIP4","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",2,"CEP, BEPC, CAP, BEP","Categorical",2010,"353","Upper secondary education, Vocational, Level completion, without direct access to tertiary education",NA
"11232","MÉNAGE","HODIP4","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",3,"Baccalauréat professionnel","Categorical",2010,"354","Upper secondary education, Vocational, Level completion, with direct access to tertiary education",NA
"11233","MÉNAGE","HODIP4","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",4,"Baccalauréat général ou technique","Categorical",2010,"344","Upper secondary education, General, Level completion, with direct access to tertiary education",NA
"11234","MÉNAGE","HODIP4","Diplôme le plus élevé du xxème enfant de la personne de référence et/ou de son conjoint, vivant hors domicile (xx = 1 à 12)",5,"Bac+2 (DEUG, BTS, DUT, ...)","Categorical",2010,"540, 550","Short-cycle tertiary education, General, Not further defined., Short-cycle tertiary education, Vocational, Not further defined",NA
